,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
137,Chimbote,24,PE,1598847863,88,-9.09,-78.58,60.44,7.34
138,New Norfolk,84,AU,1598847864,50,-42.78,147.06,54.0,4.0
139,Puerto Ayora,98,EC,1598847864,82,-0.74,-90.35,64.99,10.22
140,Mount Isa,0,AU,1598847865,15,-20.73,139.5,87.8,9.17
141,Faanui,3,PF,1598847865,77,-16.48,-151.75,77.59,21.72
142,Kosa,96,RU,1598847865,94,59.94,55.0,56.71,8.12
143,Djibo,94,BF,1598847866,79,14.1,-1.63,77.94,12.66
144,Santa Catarina da Serra,67,PT,1598847866,87,39.68,-8.69,57.0,1.12
145,Chumikan,100,RU,1598847866,55,54.72,135.31,62.04,4.14
146,Pombas,40,CV,1598847867,74,17.15,-25.02,78.8,8.05
147,Dingle,99,PH,1598847867,81,11.0,122.67,80.98,8.86
148,Nagato,75,JP,1598847867,66,34.38,131.2,89.6,6.93
149,Rio Grande,91,BR,1598847868,97,-32.03,-52.1,39.0,7.76
150,Huai Yot,40,TH,1598847868,79,7.79,99.63,86.0,4.7
151,Ayan,100,RU,1598847868,65,56.45,138.17,54.86,3.09
152,Ribeira Grande,12,PT,1598847868,92,38.52,-28.7,74.25,6.26
153,Avarua,63,CK,1598847869,69,-21.21,-159.78,75.2,10.29
154,Karpathos,20,GR,1598847869,83,35.51,27.21,77.0,24.16
155,Sobolevo,43,RU,1598847869,87,54.43,31.9,62.46,12.39
156,Ust-Nera,100,RU,1598847870,62,64.57,143.2,48.0,3.09
157,Vīsāvadar,100,IN,1598847870,89,21.38,70.68,77.94,6.64
158,Moerai,79,PF,1598847870,80,-22.43,-151.33,70.09,19.73
159,Riyadh,10,SA,1598847674,26,24.69,46.72,84.2,3.6
160,Chokurdakh,82,RU,1598847847,61,70.63,147.92,48.11,10.87
161,Rochester,40,US,1598847617,87,43.15,-77.62,55.99,5.64
162,Santa Isabel Rio Negro,100,BR,1598847871,87,-0.41,-65.02,72.72,1.86
163,Urussanga,100,BR,1598847872,90,-28.52,-49.32,59.38,2.35
164,Khanbari,67,NP,1598847872,61,27.37,87.2,83.55,1.79
165,Hambantota,75,LK,1598847872,70,6.12,81.12,87.8,6.93
166,Moa,5,CU,1598847873,84,20.66,-74.94,79.52,8.32
167,East London,0,ZA,1598847737,70,-33.02,27.91,44.6,6.93
168,Gimbi,99,ET,1598847873,100,9.17,35.83,56.53,1.74
169,Caçador,58,BR,1598847874,90,-26.78,-51.02,62.08,4.85
170,Mossamedes,4,AO,1598847874,77,-15.2,12.15,59.92,3.89
171,Doumé,97,CM,1598847874,97,4.23,13.45,68.0,3.58
172,Bilma,3,NE,1598847875,50,18.69,12.92,85.28,5.75
173,Entre Rios,20,BR,1598847875,98,-11.94,-38.08,67.23,3.62
174,Bengkulu,76,ID,1598847875,65,-3.8,102.27,85.57,6.96
175,Tiksi,1,RU,1598847876,76,71.69,128.87,44.8,10.71
176,Exeter,75,GB,1598847876,93,50.72,-3.53,48.99,2.28
177,Sola,75,VU,1598847876,74,-13.88,167.55,84.2,6.93
178,Sørland,40,NO,1598847877,93,67.67,12.69,39.2,2.24
179,Kununurra,0,AU,1598847877,22,-15.77,128.73,96.8,16.11
180,Pochutla,90,MX,1598847877,90,15.74,-96.47,77.0,2.73
181,Buala,85,SB,1598847878,72,-8.14,159.59,85.95,7.76
182,Airai,8,TL,1598847878,51,-8.93,125.41,76.68,7.81
183,Cuamba,0,MZ,1598847878,67,-14.8,36.54,64.81,4.97
184,Ostrovnoy,0,RU,1598847664,86,68.05,39.51,47.32,9.48
185,Dwārka,79,IN,1598847879,77,22.24,68.97,82.98,18.72
186,Ust-Tsilma,100,RU,1598847879,94,65.44,52.15,50.0,5.79
187,Maun,0,BW,1598847879,20,-19.98,23.42,57.2,10.29
188,Leningradskiy,100,RU,1598847880,93,69.38,178.42,36.09,5.44
189,Doha,0,QA,1598847648,75,25.29,51.53,93.2,4.7
190,Denpasar,40,ID,1598847836,74,-8.65,115.22,84.2,20.8
191,Souillac,75,MU,1598847880,83,-20.52,57.52,69.8,14.99
192,Quatre Cocos,75,MU,1598847881,83,-20.21,57.76,72.0,14.99
193,Jogbani,67,IN,1598847881,56,26.42,87.25,91.17,8.05
194,Chui,85,UY,1598847881,71,-33.7,-53.46,40.46,5.57
195,Valparaíso,0,CL,1598847882,100,-33.04,-71.63,39.2,2.24
196,Egvekinot,81,RU,1598847882,84,66.32,-179.17,39.56,18.86
197,Passagem Franca,0,BR,1598847882,35,-6.18,-43.78,74.68,4.52
198,Bad Krozingen,99,DE,1598847883,91,47.92,7.7,54.0,3.4
199,Dzilam González,1,MX,1598847883,72,21.28,-88.93,79.83,8.23
200,Russell,20,US,1598847883,94,32.35,-85.2,75.2,4.7
201,Zheleznodorozhnyy,19,RU,1598847884,77,55.75,38.0,68.0,2.24
202,Viedma,0,AR,1598847884,84,-40.81,-63.0,36.0,8.03
203,Salekhard,100,RU,1598847884,88,66.53,66.6,43.32,17.29
204,Husavik,100,IS,1598847885,81,66.04,-17.34,51.8,9.17
205,Shache,5,CN,1598847885,18,38.42,77.24,79.5,2.66
206,Nampula,1,MZ,1598847885,87,-15.12,39.27,64.0,3.22
207,Uruguaiana,99,BR,1598847765,76,-29.75,-57.09,51.8,14.99
208,Coyhaique,99,CL,1598847886,86,-45.58,-72.07,32.0,2.24
209,La Ronge,75,CA,1598847886,93,55.1,-105.28,44.6,12.75
210,Paragominas,0,BR,1598847888,78,-2.97,-47.48,72.52,3.51
211,Clyde River,1,CA,1598847889,100,70.47,-68.59,37.4,2.24
212,San Quintín,0,MX,1598847889,79,30.48,-115.95,68.11,11.12
213,Kadapa,40,IN,1598847890,70,14.47,78.82,86.0,4.7
214,Arlit,29,NE,1598847890,44,18.74,7.39,86.5,3.06
215,Amahai,72,ID,1598847892,81,-3.33,128.92,81.52,8.19
216,Vilyuysk,95,RU,1598847892,60,63.76,121.62,62.98,4.56
217,Thinadhoo,74,MV,1598847892,72,0.53,72.93,82.42,8.32
218,Caravelas,0,BR,1598847893,93,-17.71,-39.25,69.4,4.18
219,Bambanglipuro,70,ID,1598847893,57,-7.95,110.28,84.47,16.58
220,Paso de Carrasco,27,UY,1598847893,64,-34.86,-56.05,39.99,5.82
221,Coquimbo,77,CL,1598847894,87,-29.95,-71.34,51.8,3.36
222,Sinnamary,99,GF,1598847894,86,5.38,-52.95,78.4,11.97
223,Hamilton,90,US,1598847673,64,39.18,-84.53,69.01,8.05
224,Marsá Maţrūḩ,0,EG,1598847894,88,31.35,27.25,77.0,9.17
225,Manitouwadge,40,CA,1598847895,90,49.12,-85.84,47.39,4.59
226,Norman Wells,75,CA,1598847895,51,65.28,-126.83,59.0,4.7
227,Makakilo City,1,US,1598847895,51,21.35,-158.09,86.0,6.93
228,Sambava,75,MG,1598847896,85,-14.27,50.17,71.74,10.89
229,Viseu,35,PT,1598847896,90,40.66,-7.91,55.0,6.17
230,Brae,85,GB,1598847896,93,60.4,-1.35,39.2,2.57
231,Hofn,100,IS,1598847897,86,64.25,-15.21,51.67,12.93
232,Aktau,0,KZ,1598847897,78,43.65,51.2,71.6,2.24
233,Cayenne,88,GF,1598847897,88,4.93,-52.33,78.8,11.5
234,Polovinnoye,69,RU,1598847898,51,54.79,65.99,71.19,9.73
235,Kahului,40,US,1598847879,65,20.89,-156.47,82.4,18.34
236,Broken Hill,0,AU,1598847898,41,-31.95,141.43,57.2,11.41
237,Torbay,90,CA,1598847899,100,47.67,-52.73,68.0,26.4
238,São Filipe,89,CV,1598847899,81,14.9,-24.5,77.34,7.49
239,Zhanakorgan,0,KZ,1598847899,18,43.91,67.25,85.8,7.92
240,Northam,12,GB,1598847900,89,51.03,-4.22,51.01,1.01
241,Katsuura,83,JP,1598847900,65,35.13,140.3,91.99,4.0
242,Conakry,100,GN,1598847870,86,9.54,-13.68,78.01,14.0
243,Geraldton,0,AU,1598847900,56,-28.77,114.6,69.8,10.29
244,Roald,13,NO,1598847901,93,62.58,6.13,43.0,6.93
245,Kavieng,13,PG,1598847901,67,-2.57,150.8,86.07,8.25
246,Pevek,2,RU,1598847901,76,69.7,170.31,40.84,10.09
247,Lufilufi,75,WS,1598847902,79,-13.87,-171.6,86.0,12.75
248,Codrington,70,AU,1598847902,60,-38.27,141.97,52.18,8.99
249,North Bend,1,US,1598847902,82,43.41,-124.22,61.0,21.92
250,Puerto Escondido,79,MX,1598847903,77,15.85,-97.07,79.7,3.94
251,Ponta do Sol,40,PT,1598847903,56,32.67,-17.1,71.6,19.46
252,Vardø,75,NO,1598847903,81,70.37,31.11,42.8,5.82
253,Ulaangom,0,MN,1598847904,38,49.98,92.07,65.25,3.65
254,Salalah,90,OM,1598847904,100,17.02,54.09,77.0,3.36
255,Bintulu,40,MY,1598847905,79,3.17,113.03,86.0,3.36
256,Lebu,1,CL,1598847893,80,-37.62,-73.65,45.48,20.87
257,Aklavik,90,CA,1598847905,76,68.22,-135.01,50.0,6.93
258,Kapuskasing,5,CA,1598847906,100,49.42,-82.43,41.0,3.36
259,Dunda,6,TZ,1598847906,83,-8.12,34.25,56.08,1.86
260,Cherskiy,100,RU,1598847906,81,68.75,161.3,42.33,5.93
261,‘Āhuimanu,1,US,1598847907,74,21.44,-157.84,86.0,14.99
262,Al Bardīyah,0,LY,1598847908,82,31.76,25.09,74.41,9.1
263,Aseri,60,EE,1598847908,93,59.45,26.87,53.91,8.77
264,Muroto-misakicho,20,JP,1598847909,75,33.28,134.15,89.6,11.41
265,Tarko-Sale,99,RU,1598847909,68,64.92,77.78,53.44,14.52
266,Uíge,100,AO,1598847909,83,-7.61,15.06,67.41,1.61
267,Port Lincoln,88,AU,1598847910,52,-34.73,135.87,54.91,3.51
268,Ust'-Koksa,0,RU,1598847910,54,50.27,85.61,62.44,0.94
269,Kyra,100,RU,1598847910,91,49.58,111.98,54.09,0.96
270,Vao,43,NC,1598847911,68,-22.67,167.48,67.24,15.39
271,Batote,75,IN,1598847911,94,33.12,75.32,82.4,9.17
272,Halesowen,86,GB,1598847911,93,52.45,-2.05,48.2,1.97
273,Fethiye,0,TR,1598847912,60,36.62,29.12,75.2,4.7
274,Pandan,65,PH,1598847912,63,14.05,124.17,88.83,9.86
275,Taoudenni,81,ML,1598847912,43,22.68,-3.98,91.09,5.68
276,Labuan,20,MY,1598847913,83,5.28,115.24,84.2,2.24
277,Arraial do Cabo,0,BR,1598847882,87,-22.97,-42.03,71.83,12.44
278,Klaksvík,82,FO,1598847914,100,62.23,-6.59,48.2,12.75
279,Ugoofaaru,31,MV,1598847914,73,5.67,73.0,82.9,9.66
280,Phalaborwa,99,ZA,1598847651,77,-23.94,31.14,59.0,12.75
281,Bagpat,75,IN,1598847915,78,28.95,77.22,84.99,9.17
282,Erzin,0,TR,1598847915,81,36.96,36.2,79.0,8.01
283,Iquitos,46,PE,1598847876,80,-3.75,-73.25,75.34,2.33
284,Panna,0,IN,1598847916,88,24.72,80.2,82.4,3.36
285,Deniliquin,0,AU,1598847916,47,-35.53,144.97,57.0,5.99
286,Acarí,88,PE,1598847916,73,-15.43,-74.62,59.52,3.67
287,Licheng,40,CN,1598847917,62,23.3,113.83,96.01,4.47
288,Peniche,9,PT,1598847917,90,39.36,-9.38,55.0,8.19
289,Barra do Garças,0,BR,1598847630,30,-15.89,-52.26,74.17,2.62
290,Santa Cruz de la Sierra,75,BO,1598847738,53,-17.8,-63.17,77.0,14.99
291,Rio Verde de Mato Grosso,1,BR,1598847651,19,-18.92,-54.84,77.5,3.27
292,Utete,45,TZ,1598847918,89,-7.99,38.76,67.95,1.34
293,São Mateus,0,BR,1598847918,93,-18.72,-39.86,69.87,4.29
294,Chibombo,0,ZM,1598847919,46,-14.66,28.07,59.7,5.03
295,Otavi,0,NA,1598847919,41,-19.65,17.33,51.15,15.73
296,Independence,1,US,1598847917,83,39.09,-94.42,73.4,6.93
297,Nísia Floresta,75,BR,1598847920,94,-6.09,-35.21,71.6,5.82
298,Bolivar,0,US,1598847700,93,37.61,-93.41,72.0,7.16
299,Tazovsky,7,RU,1598847921,74,67.47,78.7,47.16,7.43
300,Khandyga,100,RU,1598847921,87,62.67,135.6,53.29,3.51
301,Tignère,97,CM,1598847921,97,7.37,12.65,63.01,2.19
302,Khatanga,0,RU,1598847922,66,71.97,102.5,53.38,8.39
303,Dvinskoy Bereznik,59,RU,1598847922,94,62.86,42.71,46.22,5.28
304,Itarema,0,BR,1598847922,77,-2.92,-39.92,76.96,15.39
305,Racine,40,US,1598847923,93,42.75,-88.08,61.0,6.33
306,Bubaque,89,GW,1598847923,83,11.28,-15.83,79.81,13.44
307,Sungai Raya,100,ID,1598847923,79,0.7,108.9,81.9,5.35
308,Acaraú,0,BR,1598847924,78,-2.89,-40.12,76.84,15.79
309,Lianran,40,CN,1598847924,88,24.92,102.48,73.99,6.71
310,Ilulissat,0,GL,1598847925,74,69.22,-51.1,37.4,2.24
311,Ouadda,100,CF,1598847925,93,8.08,22.4,64.76,0.83
312,Tamasane,75,BW,1598847926,87,-22.42,27.4,59.0,8.05
313,College,75,US,1598847917,42,64.86,-147.8,62.6,5.82
314,Conde,20,BR,1598847926,100,-7.26,-34.91,71.6,6.93
315,Rawson,12,AR,1598847927,67,-43.3,-65.1,41.85,7.43
316,Barinas,98,VE,1598847927,90,8.62,-70.21,73.22,2.91
317,Svetlaya,100,RU,1598847928,62,46.54,138.33,60.89,6.98
318,Āron,80,IN,1598847928,89,24.38,77.42,74.89,13.0
319,Pangnirtung,0,CA,1598847928,57,66.15,-65.71,46.51,0.65
320,Nome,75,US,1598847929,67,64.5,-165.41,57.2,21.92
321,Bairiki Village,20,KI,1598847929,66,1.33,172.98,87.8,8.05
322,Mandera,0,KE,1598847929,68,3.94,41.87,76.57,12.86
323,Saint-Joseph,20,RE,1598847930,60,-21.37,55.62,72.0,5.82
324,Itapirapuã,34,BR,1598847930,32,-15.82,-50.61,73.44,5.14
325,Sechura,72,PE,1598847930,78,-5.56,-80.82,63.43,12.28
326,Yur’yevets,94,RU,1598847931,93,57.32,43.1,61.48,5.93
327,Paita,62,PE,1598847931,84,-5.09,-81.11,62.28,12.3
328,Phalodi,63,IN,1598847931,68,27.13,72.37,85.06,5.79
329,Kailua,1,US,1598847932,74,21.4,-157.74,80.6,14.99
330,Uglekamensk,92,RU,1598847932,60,43.22,133.23,71.62,2.75
331,Polunochnoye,21,RU,1598847932,82,60.87,60.42,55.47,9.82
332,Yanagawa,20,JP,1598847933,56,33.17,130.4,95.0,9.17
333,Broome,1,US,1598847933,76,42.25,-75.83,55.4,3.36
334,Dikson,100,RU,1598847923,97,73.51,80.55,41.79,13.09
335,Bollnäs,5,SE,1598847934,98,61.35,16.39,46.0,7.61
336,Kolokani,44,ML,1598847934,94,13.57,-8.03,71.85,7.74
337,Hazorasp,99,UZ,1598847934,43,41.32,61.07,73.4,13.87
338,Ginda,40,IN,1598847935,83,30.69,78.49,80.6,4.7
339,Fortuna Foothills,1,US,1598847935,52,32.66,-114.41,90.0,17.22
340,Cassilândia,7,BR,1598847935,30,-19.11,-51.73,71.87,2.08
341,Bud,1,US,1598847936,82,39.45,-86.18,64.99,7.4
342,Abnūb,0,EG,1598847936,59,27.27,31.15,77.4,8.32
343,Flagstaff,1,US,1598847640,55,35.2,-111.65,66.99,9.17
344,Along,100,IN,1598847937,59,28.17,94.77,87.35,1.81
345,Mosetse,100,BW,1598847937,71,-20.75,26.65,62.82,6.55
346,Goderich,0,CA,1598847937,74,43.75,-81.72,70.0,1.99
347,Pagudpud,75,PH,1598847938,83,18.56,120.79,84.2,8.05
348,Camabatela,94,AO,1598847938,89,-8.19,15.38,62.46,2.13
349,Pokhara,27,NP,1598847938,71,28.23,83.98,80.4,3.94
350,Trairi,0,BR,1598847939,72,-3.28,-39.27,77.38,13.96
351,Prainha,45,BR,1598847939,86,-1.8,-53.48,74.77,3.94
352,Jaworzno,33,PL,1598847939,73,50.21,19.27,61.0,14.0
353,Dryden,90,CA,1598847940,82,49.78,-92.75,60.8,14.99
354,Porbandar,91,IN,1598847940,79,21.64,69.61,82.78,15.61
355,Novosilikatnyy,0,RU,1598847940,56,53.31,83.62,69.8,6.71
356,Dingcheng,26,CN,1598847941,65,32.13,115.04,87.44,8.79
357,Richards Bay,100,ZA,1598847941,76,-28.78,32.04,56.3,8.66
358,Tocopilla,100,CL,1598847941,66,-22.09,-70.2,57.67,1.41
359,General Pico,0,AR,1598847669,60,-35.66,-63.76,42.28,1.79
360,Mozarlândia,0,BR,1598847942,31,-14.74,-50.57,75.06,4.29
361,San Cristobal,100,VE,1598847837,89,7.77,-72.22,65.3,2.93
362,Kantemirovka,0,RU,1598847943,50,49.71,39.86,68.09,5.82
363,Wattegama,75,LK,1598847943,70,6.8,81.48,87.8,6.93
364,Dzerzhinsk,90,RU,1598847648,93,56.24,43.46,61.0,2.24
365,São Paulo de Olivença,100,BR,1598847943,91,-3.38,-68.87,73.8,2.24
366,Provideniya,90,RU,1598847917,66,64.38,-173.3,51.8,13.42
367,Rawlins,1,US,1598847945,61,41.79,-107.24,48.2,9.17
368,Smithers,90,CA,1598847945,100,54.78,-127.17,48.2,1.79
369,Faya,34,SA,1598847931,29,18.39,42.45,69.8,4.85
370,Alekseyevka,0,RU,1598847946,55,50.63,38.69,65.59,6.78
371,Estrela,90,BR,1598847946,90,-28.06,-50.94,58.53,3.69
372,Koulikoro,79,ML,1598847946,87,14.0,-7.75,73.33,8.72
373,Carnarvon,0,AU,1598847907,60,-24.87,113.63,73.4,10.29
